# Created by Octave 4.2.1, Mon Jun 12 14:08:18 2017 GMT <unknown@DESKTOP-B0SQM8R>
# name: t
# type: matrix
# rows: 100
# columns: 2
 0 0
 0 0
 0 0
 1 1
 1 1
 0 0
 1 1
 0 1
 1 1
 1 1
 1 0
 0 0
 1 1
 1 1
 0 0
 1 1
 0 1
 0 0
 1 1
 1 1
 0 0
 1 1
 0 0
 0 0
 1 1
 1 1
 1 1
 1 0
 0 0
 0 0
 1 1
 1 1
 0 0
 0 1
 0 0
 0 0
 1 0
 1 1
 0 0
 0 0
 1 1
 0 0
 1 1
 1 0
 0 0
 0 0
 1 1
 1 1
 1 1
 1 1
 1 1
 1 1
 1 1
 0 0
 0 0
 0 0
 1 1
 1 0
 1 1
 1 1
 1 1
 0 0
 0 0
 0 0
 0 0
 0 0
 1 1
 0 0
 1 1
 1 1
 0 0
 1 1
 1 1
 1 1
 1 1
 1 1
 1 1
 1 1
 0 0
 1 0
 1 1
 1 1
 1 1
 0 1
 1 1
 1 1
 0 0
 1 1
 1 1
 0 0
 1 1
 1 1
 0 0
 1 1
 1 1
 1 1
 1 1
 1 1
 0 1
 1 1


